Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
65,성난황소,2018-11-22,13236490737,0.004,13236490737,1593386,1593386,1010,48932,한국,한국,"주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",(주)쇼박스,15세이상관람가,"범죄,액션",김민호,"마동석,송지효,김성오,박지환,이동진,박혜림,김재철,이연주,신수경,이창훈,김흥태,노성후,장혁진,박지훈,박진성,김산,김민재,김수진,김용빈,김수진,이성우,배진웅,정인기,최홍일,서문호,황재열,이세영"
66,범블비,2018-12-25,13090949707,0.004,13090949707,1561643,1561643,1016,44459,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"액션,어드벤처,SF",트래비스 나이트,"헤일리 스테인펠드,파멜라 애들론,존 시나,피터 쿨렌,케네스 최"
67,도어락,2018-12-05,12803157486,0.004,12803157486,1561258,1561258,954,53836,한국,한국,(주)영화사피어나,플러스엠 엔터테인먼트,15세이상관람가,"스릴러,드라마",이권,"전지윤,공효진,김예원,김성오,조복래,이가섭,이천희,김동규,김보경,김유정,김지한,김지현,백민준,이승창,장효석,한지은,배유리,배명진,차엽,윤종석,이상희,이홍내,손영희,정종우,박초연,최만성"
68,정직한 후보,2020-02-12,12834858530,0.004,12834858530,1535630,1538308,1187,89152,한국,한국,"(주)수필름,(주)홍필름",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,코미디,장유정,"라미란,김무열,나문희,윤경호,장동주,송영창,온주완,조한철,손종학,조수향,윤세아,김용림,박성준,임영우,안세호,김나윤,고규필,이도엽,양나영,주민찬,김봉만,우미화,박성준,이동희,전진오,강숙,박정표,김원영,이애린,박예슬,박예슬,홍승균,안진영,한동호,조윤지,유이준,안재현,신지우,정용실,김희수,박재범,정소용,강충훈,김현진,이동원,이하늘,이대겸,정경현,김광태,김호준,양찬주,손성찬,김비비,이은율,신현아,박시윤,유성재,홍의정,옥주리,황연희,정일화,박소윤,김혜주,성현미,노덕이,이옥봉,이덕건,강종성,장건범,남정현,김양희,김은지,박소연,이덕재,김가윤,김영우,노을,박정윤,이윤석,이제용,한유리,김규리,김민영,김민종,김보라,김재훈,나인석,박승민,박주홍,방선혜,신창욱,안현석,양예원,이건민,이재혁,이정구,이지은,이지은,전하림,정열,한준용,이현송,김형균,허철주,허철주,송하균,송하균,송하균,류승무,조주한,문규민,안흥성,박지현,이서율,황인준,신은영,김동욱,강수호,김한상,장현정,유현정,이성훈,최기상,이종철,김남욱,윤서정,안진현,박윤영,김동희,이서율,이규현,류인아,김주아,김정문,김민지,오만석,김근영,신나리,김하나"
69,드래곤 길들이기 3,2019-01-30,12346432876,0.004,12346432876,1507922,1507922,971,42407,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,딘 데블로이스,"제이 바루첼,아메리카 페레라,케이트 블란쳇,킷 해링턴,크레이그 퍼거슨,F. 머레이 아브라함"
70,나의 특별한 형제,2019-05-01,12082626074,0.004,12082626074,1478300,1478300,936,49928,한국,한국,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진,김자영,김한나,양조아,김기천,고봉구,김경남,송철호,박정훈,서지원,김동훈,신안진,신안진,김민석,안지호,우지현,우지현,오세은,김서원,김현빈,이선주,김희창,윤정로,김승태,강은아,김중기,고현준,이채은,이호원,목규리,김태완,최광일,이도엽,김윤호,연승빈,전채원,서희,선종남,한경원,한별,정유민"
71,어스,2019-03-27,12586771104,0.004,12586771104,1475087,1475087,1132,58522,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",조던 필,"루피타 뇽오,윈스턴 듀크,엘리자베스 모스,팀 헤이데커,야히아 압둘 마틴 2세,애나 디옵,에반 알렉스,샤하디 라이트 조셉,매디슨 커리,칼리 쉘든,노엘 쉘든,카라 헤이워드"
72,스윙키즈,2018-12-19,12094670292,0.004,12094670292,1473125,1474056,984,42247,한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,강형철,"도경수,박혜수,자레드 그라임스,오정세,김민호,강성호,고창희,김건우,김동현,김민재,김수민,김유리,김은주,김종원,김지현,김지혜,김태형,김하늘,나경진,박상필,박준수,신지훈,안희진,이동현,이상훈,이승훈,이승훈,이재석,이정현,이태영,장지훈,전민정,전재형,최민우,송재룡,주해은,박진주,박형수,이규성,강길우,김규백,김시원,백인권,염석무,오래영,김언수,김희상,윤정로,김종태,최원,전재형,김지수,이승철,김태윤,서정우,김태순,박찬우"
73,말레피센트 2,2019-10-17,12191395690,0.004,12191395690,1444952,1444952,1108,63768,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"어드벤처,가족,판타지",요아킴 뢰닝,"안젤리나 졸리,엘르 패닝,미셀 파이퍼"
74,포드 V 페라리,2019-12-04,12037806920,0.004,12037806920,1367810,1371137,986,46936,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마",제임스 맨골드,"맷 데이먼,크리스찬 베일"
75,오션스8,2018-06-13,11697403266,0.004,11700157266,1335523,1335829,837,55371,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,범죄",게리 로스,"산드라 블록,케이트 블란쳇,앤 해서웨이,민디 캘링,사라 폴슨,아콰피나,리한나,헬레나 본햄 카터"
76,클로젯,2020-02-05,10966522280,0.003,10966522280,1270291,1270835,1197,71450,한국,한국,"(주)영화사 월광,(주)퍼펙트스톰필름",(주)씨제이이엔엠,15세이상관람가,"미스터리,드라마",김광빈,"하정우,김남길,허율,김시아,신현빈,김수진,박지아,임현성,강신철,박성웅,이도국,이양희"
77,유열의 음악앨범,2019-08-28,10233455040,0.003,10233455040,1245532,1245540,1078,59626,한국,한국,"(주)무비락,정지우 필름,(주)필름봉옥",CGV아트하우스,12세이상관람가,"멜로/로맨스,드라마",정지우,"김고은,정해인,박해준,김국희,정유진,최준영,심달기,나철,권은수,박세현,김한나,남문철,강민지,고경희,곽민석,박성용,권혁,김경미,박지연,김대곤,김도연,김도영,김동규,김동준,신이지,김민,변주현,안현빈,유병선,유병선,유열,연제욱,윤대열,김세경,윤상정,윤재국,이정진,이서한,허지나,최영우,홍성덕,홍종호,홍현종,이찬희,김희진,황재열,강서은,김중기,김지안,구권모,이혜원,최효주,김진옥,김사랑,이미라,이영훈,김주빈,김현,이유경,이유경,이유경,이유경,정애리,원미원,노윤지,유성주,유현준,박기량,윤옥길,최강희,심규식,정효림,이상협,이승미,이원섭,서미소,박찬국,최준규,전상조,송덕호,오채은,장세원,한경희,홍종길,한성용,황도진,한준원,현예빈,홍사빈,김병만,이영희"
78,퍼펙트맨,2019-10-02,10311352770,0.003,10311352770,1240022,1240022,894,50055,한국,한국,"(주)맨필름,(주)쇼박스",(주)쇼박스,15세이상관람가,"코미디,드라마",용수,"설경구,조진웅,허준호,진선규,김사랑,지승현,윤진영,권혁범,박보경,이호철,윤상화,김준희,소희정,이주원,박인수,김기무,박찬효,문호진,정찬훈,원인재,박건락,이태검,강성철,윤성원,홍석빈,이윤재,정형석,석보배,유인혜,김여진,김호준,이전익,하성훈,한동원,전정관,최지안,서정희,박재철,한태진,김두열,안상은,심완준,박소라,정태인,옥예린,진혁,장세원,허동수,신성일,정성훈,이지완,김동규,전세나,육은향,심혜연,오운환,선율우,최성,김대근,김선우,강윤혜,이정철,최기상,신범식,박진우,이유준,김민석,김선경"
79,해치지않아,2020-01-15,10282332090,0.003,10282332090,1224726,1224726,1216,53523,한국,한국,"(주)디씨지플러스,(주)어바웃잇",(주)에이스메이커무비웍스,12세이상관람가,코미디,손재곤,"안재홍,강소라,박영규,김성오,전여빈,박혁권,장승조,문동혁,한예리,서현우,박형수,김흥래,김수진,윤대열,이현욱,오재균,조민경,손경원,김경민,안성봉,송수영,윤재인,한사명,전운종,양말복,김비비,김그림,박윤호,김현,박기륭,이정민,윤우중,정원형,장원형,송유현,조은유,임새라,주부진,손희순,남정희,김남순,권범택,원근희,손영희,김정현,이다영,박중금,양현진,박소영,조혜선,경규민,이다인,장정우,이경민,김규희,박보은,이하영,서은솔,송지우,양희원,김하연,김태연,박시윤,윤성우,진현광,배은우,최찬호,설창희,변상윤,박영빈,유은조,김경로,오석철,고민지,최정현,배진호,이윤상,유정호,노수산나,김기천,이가경,남윤서,정지훈,연제이,한세라,이앨리,박수아,나승현,권혜진,추경원,이언정,김도희,김서영,김흥래,김흥래,조한준,김태희,이형원,윤상돈,이옥희,김용각,김향배,손지영,염재민,이종현"
80,생일,2019-04-03,9886031300,0.003,9886031300,1197748,1197748,878,71889,한국,한국,"나우필름(주),(주)영화사레드피터,파인하우스필름(주)",(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,"설경구,박가영,전도연,김보민,윤찬영,박종환,김형주,성유빈,탕준상,신문성,이봉련,김수진,안다정,정종준,박미현,곽민규,박세정,박윤호,김경준,서석규,김계선,선욱현,신미영,신안진,신운섭,신주원,김민재,유지현,염선식,윤미경,옥주리,김수연,임혜진,김현정,이상홍,김재범,조미라,조영래,김종훈,조재현,이광우,최현진,최혜지,김진옥,이시형,김학충,한승우,이현우,조하비,맹진희,진명룡,유이찬,민구경,윤영,신동력,최은후,엄대현,최해솔,방재호,연승빈,박민규,석예린,오태남,성경구,한도형,함희수,허남일,허진성,김현,권잎새,한대훈,김종태"
81,"힘을 내요, 미스터 리",2019-09-11,9930518906,0.003,9930518906,1181960,1181960,990,41831,한국,한국,"(주)용필름,(주)덱스터스튜디오",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",이계벽,"차승원,엄채영,박해준,김혜옥,안길강,전혜빈,류한비,조한철,성지루,김법래,정원중,신현빈,정준원,정희태,안민영,지이수,윤병희,이승원,오태경,황성준,한동원,송재룡,신기원,이미정,길정우,안성원,구준우,권순준,배경을,이한생,오소현,김정복,김기정,배정웅,최소현,권오상,김도연,조정원,서동오,남태부,백은경,임지영,온세미,신정윤,류인영,원유현,김민아,신진희,김지연,지한아,소아린,김빛나라,이가영,강경우,김준오,전누림,심지윤,정승현,신지언,정의진,김수정,황재필,오영은,박소현,정현우,박성용,박찬유,정영섭,유화,김광태,김미서,경인선,이우신,이금주,선우,서인혁,이승엽,강민재,임석진"
82,항거:유관순 이야기,2019-02-27,9291455101,0.003,9291455101,1157949,1157953,1094,46159,한국,한국,(주)디씨지플러스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,조민호,"고아성,김새벽,김예은,정하담,류경수,최무성,하성광,류성민,권현진,김경록,김남진,박지원,박찬우,배향,김명,신영주,신하준,신현진,오상무,임한빈,김은희,최미라,장민영,최성윤,김현호,정효정,이성원,김정원,조아라,이수연,김신영,율찬,강시후,김연정,강왕수,고병택,김지성,공정현,권다솜,김영은,이영석,김아송,정소영,나누리,노승범,정교,진호은,윤상돈,채송화,윤예솔,정하담,심태영,이형원,이효린,최일순,임영혜,임유정,임윤진,박한마,임자혜,송용기,하진,오지영"
83,장사리 : 잊혀진 영웅들,2019-09-25,8997921050,0.003,8997921050,1140876,1140876,1090,47821,한국,한국,(주)태원엔터테인먼트,워너브러더스 코리아(주),12세이상관람가,전쟁,"곽경택,김태훈","김명민,최민호,김성철,김인권,곽시양,메간 폭스,조지 이즈,장지건,이재욱,이호정,동방우,김미화,정종준,이다인,황재열,오봄길,한철우,김진욱,김민규,이철민,양중경,홍성우,백남준,최상재,신진범,김근수,정기용,정철헌,장명갑,김한솔,송우림,오경주,전병일,서호석,배태준,이형석,배정명,박주환,조정훈,임영세,이지열,박윤상,공윤호,연원모,김기태,정연조,조서진,홍원표,차승엽,이지수,김현준,박상길,김연국,안홍,강호빈,한가을,김성도,김여준,박준규,손원익,정상일,최주영,최준민,하병우,하지완,고남호,공현대,성재현,김경현,남승민,함상훈,현병빈,조형태,최희원,오정훈,채승우,장병수,황진환,김주현,김동진,서정우,허재훈,배건하,박동일,임효성,임효성,이한종,전상욱,백신,함성일,배준모,권오철,김미화,정승배,하진,이혜수,윤정근,오규철,손창민,강상협,김태원,권혁일,고형우,안지훈,최창근,소진우,정현진,문창준,이욱진,주재형,이태윤,안시우,김재호,이상혁,조대우,전샘,정창호,유정민,김진성,조승환,윤대근,강문봉,조영길,오창후,문정식,봉명필,정재훈,서진원"
84,마이펫의 이중생활 2,2019-07-31,8512902825,0.003,8512902825,1114949,1114949,933,30858,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,코미디",크리스 리노드,"패튼 오스왈트,케빈 하트,에릭 스톤스트릿,제니 슬레이트,티파니 해디쉬,레이크 벨,해리슨 포드"
85,롱 리브 더 킹: 목포 영웅,2019-06-19,9228798910,0.003,9228798910,1094404,1094404,965,38839,한국,한국,"주식회사 몬스터컴퍼니,(주)비에이엔터테인먼트","플러스엠 엔터테인먼트,(주)콘텐츠지오",15세이상관람가,"액션,드라마",강윤성,"김래원,원진아,진선규,최귀화,최무성,주진모,장지건,정원중,이성우,김홍표,민무제,김동현,차엽,남승화,노진영,마동석,길해연,박용,서문호,서영민,김귀선,박주운,김동민,신미영,배해선,신혜경,안지혜,유희제,윤계상,김서현,윤병희,김수안,윤재인,임효진,공태원,이선영,홍범기,김형욱,조미초,홍지석,홍진기,차우진,이찬수,황인성,정기용,김승희,김시윤,정동훈,조한나,주영호,이기창,진선규,차민경,금광산,이도군,김구택,김대흥,이동철,하수호,김보정,김필,이용이,정수연,정수현,한상철,이병수,정시후,남상덕,주진무,남택근,문정환,진모,유태근,유태선,정선철,정수원,정윤성,민지호,정승균,정은경,신영옥,신용선,이규호,정환욱,박수지,김지은,이원민,이은미,최재환,배송이,박찬양,박천국,최지호,임철영,임형섭,임형준,장덕출,송욱경,장유빈,송해구,홍이주,황정인,홍기준,신용욱"
86,몬스터 호텔 3,2018-08-08,7934082800,0.002,7934082800,1072220,1072220,715,21247,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,코미디,가족,판타지",젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,앤디 샘버그,스티브 부세미,케빈 제임스,캐서린 한"
87,쥬만지: 넥스트 레벨,2019-12-11,8793014370,0.003,8793014370,1057266,1057269,1195,42202,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,액션,제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런,아콰피나"
88,더 넌,2018-09-19,8777844795,0.003,8777844795,1011580,1011580,824,32736,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),코린 하디,"타이사 파미가,데미안 비쉬어,보니 아론스,샬롯 호프"
89,존 윅 3: 파라벨룸,2019-06-26,8205265858,0.002,8205265858,1004405,1007383,849,29831,미국,미국,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,할리 베리,로렌스 피쉬번,이안 맥쉐인"
90,스카이스크래퍼,2018-07-11,8612111718,0.003,8612111718,1002858,1002858,831,40862,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,스릴러",로슨 마샬 터버,"드웨인 존슨,파블로 쉬레이버,니브 캠벨,바이런 만,친 한"
91,나랏말싸미,2019-07-24,7871240823,0.002,7871240823,958775,958775,1211,39206,한국,한국,(주)영화사두둥,플러스엠 엔터테인먼트,전체관람가,사극,조철현,"송강호,박해일,전미선,최덕문,남문철,정해균,박동혁,정인겸,김준한,차래형,윤정일,탕준상,금새록,임성재,오현경,정수지,지웅배,강수호,노성덕,박성욱,권기홍,김경원,김관수,김규원,성한여름,김대식,배주휘,김미향,보휴스님,송상은,우지현,우지현,유동균,어윤석,어주선,유용재,김상원,윤승훈,최문철,최민성,정지우,이선우,김재훈,조우리,김슬기,최재영,이찬우,효성스님,김연,김준석,김준하,고기영,고청휘,지명관,이근후,김진혁,김영원,김영주,김쇼우,김영건,일구스님,일암스님,김정진,김정한,이상규,김태훈,남열,윤사비나,정시율,윤택승,정찬훈,김진이,홍현수,이두석,이재진,김은미,이우주,정인교,임태린,백수민,하시연,송창곤,한건태,한용휘,혜력스림,전현수,윤슬"
92,미드웨이,2019-12-31,8227321530,0.002,8227321530,957931,959231,842,35481,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,드라마",롤랜드 에머리히,"에드 스크레인,패트릭 윌슨,우디 해럴슨,루크 에반스,아사노 타다노부,닉 조나스"
93,인랑,2018-07-25,7007294673,0.002,7007294673,899029,899029,1085,25428,한국,한국,(주)루이스 픽쳐스,워너브러더스 코리아(주),15세이상관람가,"SF,액션",김지운,"강동원,한효주,김지아,김준범,민일홍,정우성,김무열,최민호,한예리,신은수,허준호,문예원,김현준,이가경,박형수,전여빈,김기태,이동하,김재영,이승진,이시형,서영민,선호삼,이진한,이찬희,이확광,임서영,안성봉,양도현,김현창,박영서,박주희,정원종,조아라,김기범,최진호,김성호,김성호,김우진,소윤호,정기섭,정원중,장원형,최진호,허지원,옥자연,홍인,권혁범,김시원,전광진,손경원,김조운,김도율,김예은,김종태,김태윤,조윤담,박재한"
94,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,7057358780,0.002,7057358780,894356,894356,841,22391,한국,한국,(주)씨제이이엔엠,(주)씨제이이엔엠,전체관람가,애니메이션,변영규,"김영은,김채하,신용우,양정화,김현지,강새봄,강성우,강성우,김다올,김다올,김도희,김명준,김현지,박선영,박시윤,신용우,양정화,유 영,이현,이현,최재호,이상호,이상호,이소은,이소은,이유서,홍승효,홍승효,조현정"
95,극장판 헬로카봇 : 백악기 시대,2018-08-01,6596728500,0.002,6596728500,880776,880776,758,16443,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용,이지현,한신"
96,1917,2020-02-19,7847245000,0.002,7847245000,867865,879471,932,90761,미국,미국,,(주)스마일이엔티,15세이상관람가,"드라마,전쟁",샘 멘데스,"조지 맥케이,딘-찰스 채프먼,콜린 퍼스,베네딕트 컴버배치,마크 스트롱,앤드류 스캇,리처드 매든,애드리안 스카보로프"
97,엑스맨: 다크 피닉스,2019-06-05,7649216640,0.002,7649216640,862744,862744,991,29386,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",사이먼 킨버그,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,니콜라스 홀트,소피 터너,타이 쉐리던,에반 피터스,제시카 차스테인"
98,작은 아씨들,2020-02-12,7265723330,0.002,7265723330,862130,6793,1105,59375,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"드라마,멜로/로맨스",그레타 거윅,"시얼샤 로넌,엠마 왓슨,플로렌스 퓨,엘리자 스캔런,로라 던,티모시 샬라메,메릴 스트립"
99,맨 인 블랙: 인터내셔널,2019-06-12,7464209570,0.002,7464209570,851917,851917,1151,40520,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"액션,코미디,SF",F. 게리 그레이,"크리스 헴스워스,테사 톰슨,리암 니슨,엠마 톰슨"
100,레드슈즈,2019-07-25,6119445190,0.002,6119445190,820766,820853,717,20870,한국,한국,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,코미디,판타지,어드벤처,멜로/로맨스",홍성호,"클로이 모레츠,샘 클라플린,지나 거손,패트릭 워버튼,짐 래쉬,아바 콜커,사성웅,김명준,신용우,유호한,곽지혜,전진아,권성혁,김규동,정승욱,윤세웅,안소이,신예솔,이종구,전광주,최한,서문석,정재헌"
101,나이브스 아웃,2019-12-04,6873606090,0.002,6873606090,814745,819146,686,31008,미국,미국,,(주)올스타엔터테인먼트,12세이상관람가,"미스터리,스릴러",라이언 존슨,"다니엘 크레이그,크리스 에반스,아나 디 아르마스,제이미 리 커티스,마이클 섀넌,돈 존슨,크리스토퍼 플러머"
102,상류사회,2018-08-29,6313416163,0.002,6313416163,768442,2077,867,41725,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,"신현숙,박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우,이강진,이수민,이수일,이수정,김정현,백승환,이정철,김준희,이현승,김지현,김근영,김진성,김진호,김태희,김현미,양정인,김형석,여상은,윤정희,문형수,임용순,박성훈,박아영,장혁진,정승준,박주희,정자영,박지원,정현석,조준희,김경민,김다솜,김다정,김대근,김동욱,김디나,최정윤,한지은,한희정,한희정,황지현,김미희,김선희,김시원,김성준,김건우,강기영,주예지,김승훈,이홍내,남기애,백현진,한이진,김성준,김상욱,김채원"
